"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","C23002B_008",42823,1602
"2","02","Alaska","C23002B_008",1213,303
"3","04","Arizona","C23002B_008",10132,900
"4","05","Arkansas","C23002B_008",16442,996
"5","06","California","C23002B_008",94954,2453
"6","08","Colorado","C23002B_008",8071,809
"7","09","Connecticut","C23002B_008",18533,890
"8","10","Delaware","C23002B_008",5903,610
"9","11","District of Columbia","C23002B_008",14767,853
"10","12","Florida","C23002B_008",127179,3028
"11","13","Georgia","C23002B_008",114540,2595
"12","15","Hawaii","C23002B_008",629,197
"13","16","Idaho","C23002B_008",349,156
"14","17","Illinois","C23002B_008",86860,2573
"15","18","Indiana","C23002B_008",23697,1121
"16","19","Iowa","C23002B_008",3339,458
"17","20","Kansas","C23002B_008",5886,513
"18","21","Kentucky","C23002B_008",12264,796
"19","22","Louisiana","C23002B_008",46208,1606
"20","23","Maine","C23002B_008",607,139
"21","24","Maryland","C23002B_008",58352,1813
"22","25","Massachusetts","C23002B_008",17614,950
"23","26","Michigan","C23002B_008",69659,2168
"24","27","Minnesota","C23002B_008",11875,774
"25","28","Mississippi","C23002B_008",38271,1546
"26","29","Missouri","C23002B_008",29225,1087
"27","30","Montana","C23002B_008",105,69
"28","31","Nebraska","C23002B_008",3113,421
"29","32","Nevada","C23002B_008",10619,933
"30","33","New Hampshire","C23002B_008",386,175
"31","34","New Jersey","C23002B_008",47987,1691
"32","35","New Mexico","C23002B_008",1112,278
"33","36","New York","C23002B_008",108122,2582
"34","37","North Carolina","C23002B_008",83333,2348
"35","38","North Dakota","C23002B_008",326,128
"36","39","Ohio","C23002B_008",64441,1799
"37","40","Oklahoma","C23002B_008",7268,617
"38","41","Oregon","C23002B_008",3578,402
"39","42","Pennsylvania","C23002B_008",55608,1793
"40","44","Rhode Island","C23002B_008",2099,300
"41","45","South Carolina","C23002B_008",50661,1918
"42","46","South Dakota","C23002B_008",298,131
"43","47","Tennessee","C23002B_008",38559,1424
"44","48","Texas","C23002B_008",98473,2483
"45","49","Utah","C23002B_008",1004,253
"46","50","Vermont","C23002B_008",246,104
"47","51","Virginia","C23002B_008",48096,1641
"48","53","Washington","C23002B_008",10281,790
"49","54","West Virginia","C23002B_008",1748,292
"50","55","Wisconsin","C23002B_008",15464,688
"51","56","Wyoming","C23002B_008",376,224
"52","72","Puerto Rico","C23002B_008",13423,981
