"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","B19013B_001",35239,496
"2","02","Alaska","B19013B_001",64054,4716
"3","04","Arizona","B19013B_001",49418,1488
"4","05","Arkansas","B19013B_001",32844,723
"5","06","California","B19013B_001",54976,602
"6","08","Colorado","B19013B_001",53806,1742
"7","09","Connecticut","B19013B_001",50905,1208
"8","10","Delaware","B19013B_001",50870,2077
"9","11","District of Columbia","B19013B_001",48515,1216
"10","12","Florida","B19013B_001",43418,442
"11","13","Georgia","B19013B_001",46964,478
"12","15","Hawaii","B19013B_001",71939,3276
"13","16","Idaho","B19013B_001",45059,4527
"14","17","Illinois","B19013B_001",41021,505
"15","18","Indiana","B19013B_001",36131,617
"16","19","Iowa","B19013B_001",33662,1625
"17","20","Kansas","B19013B_001",39274,1276
"18","21","Kentucky","B19013B_001",37521,821
"19","22","Louisiana","B19013B_001",31479,496
"20","23","Maine","B19013B_001",41174,4125
"21","24","Maryland","B19013B_001",69964,728
"22","25","Massachusetts","B19013B_001",54835,1789
"23","26","Michigan","B19013B_001",36561,418
"24","27","Minnesota","B19013B_001",40785,960
"25","28","Mississippi","B19013B_001",31389,507
"26","29","Missouri","B19013B_001",38456,836
"27","30","Montana","B19013B_001",47177,8487
"28","31","Nebraska","B19013B_001",37163,2527
"29","32","Nevada","B19013B_001",42047,1092
"30","33","New Hampshire","B19013B_001",59261,6847
"31","34","New Jersey","B19013B_001",55453,912
"32","35","New Mexico","B19013B_001",42963,3691
"33","36","New York","B19013B_001",51060,508
"34","37","North Carolina","B19013B_001",40767,380
"35","38","North Dakota","B19013B_001",39280,3971
"36","39","Ohio","B19013B_001",34778,441
"37","40","Oklahoma","B19013B_001",36790,1019
"38","41","Oregon","B19013B_001",44138,2949
"39","42","Pennsylvania","B19013B_001",40370,668
"40","44","Rhode Island","B19013B_001",47723,2986
"41","45","South Carolina","B19013B_001",36271,533
"42","46","South Dakota","B19013B_001",47270,6998
"43","47","Tennessee","B19013B_001",40020,640
"44","48","Texas","B19013B_001",48293,463
"45","49","Utah","B19013B_001",44772,5091
"46","50","Vermont","B19013B_001",37489,9658
"47","51","Virginia","B19013B_001",52929,688
"48","53","Washington","B19013B_001",56196,2059
"49","54","West Virginia","B19013B_001",32803,2764
"50","55","Wisconsin","B19013B_001",32857,1304
"51","56","Wyoming","B19013B_001",53354,21200
"52","72","Puerto Rico","B19013B_001",20038,558
